review_id,product_id,customer_id,rating,review_text,review_date,verified_purchase,helpful_votes,has_review_text
REV-5000,PROD-101,CUST-1122,2.0,Customer service was unhelpful.,2023-11-13,True,0,True
REV-5001,PROD-138,CUST-1110,5.0,"Five stars, absolutely amazing!",2023-08-27,True,8,True
REV-5002,PROD-108,CUST-1175,3.0,"Great product, exactly what I needed!",2023-11-10,False,18,True
REV-5003,PROD-102,CUST-1157,2.0,Best purchase I've made this year.,2023-06-18,False,49,True
REV-5004,PROD-140,CUST-1151,4.0,Stopped working after a month.,2024-08-27,False,11,True
REV-5005,PROD-115,CUST-1000,3.0,"Arrived damaged, had to return.",2024-08-18,True,50,True
REV-5006,PROD-132,CUST-1188,1.0,"Arrived damaged, had to return.",2023-06-28,False,25,True
REV-5007,PROD-117,CUST-1132,1.0,Stopped working after a month.,2023-06-14,False,37,True
REV-5008,PROD-101,CUST-1104,1.0,Would not recommend to anyone.,2023-07-14,True,14,True
REV-5009,PROD-121,CUST-1125,1.0,Best purchase I've made this year.,2024-03-09,True,12,True
REV-5011,PROD-107,CUST-1171,5.0,Exceeded my expectations!,2023-12-21,False,28,True
REV-5012,PROD-116,CUST-1134,4.0,"Fast shipping, item works perfectly.",2023-08-05,False,0,True
REV-5013,PROD-103,CUST-1193,3.0,,2023-06-26,False,0,False
REV-5014,PROD-137,CUST-1060,3.7,"Arrived damaged, had to return.",2025-01-20,False,36,True
REV-5016,PROD-137,CUST-1126,3.0,Good value for money.,2024-11-23,False,28,True
REV-5017,PROD-143,CUST-1097,1.0,"Fast shipping, item works perfectly.",2024-07-25,False,3,True
REV-5018,PROD-131,CUST-1046,4.0,Love this! Will buy again.,2024-08-21,False,37,True
REV-5019,PROD-136,CUST-1042,1.0,"Fast shipping, item works perfectly.",2024-02-26,True,3,True
REV-5020,PROD-132,CUST-1040,4.0,"Great product, exactly what I needed!",2023-07-27,True,0,True
REV-5021,PROD-134,CUST-1199,1.0,"Fast shipping, item works perfectly.",2024-10-29,False,0,True
REV-5022,PROD-128,CUST-1007,1.0,Good value for money.,2024-11-02,True,16,True
REV-5023,PROD-119,CUST-1115,5.0,Stopped working after a month.,2023-10-02,True,14,True
REV-5024,PROD-136,CUST-1006,4.0,"Terrible quality, broke after a week.",2023-08-03,True,30,True
REV-5025,PROD-142,CUST-1152,1.0,Good value for money.,2024-04-02,True,31,True
REV-5026,PROD-143,CUST-1038,5.0,Best purchase I've made this year.,2024-10-29,False,42,True
REV-5028,PROD-135,CUST-1057,2.0,Best purchase I've made this year.,2024-12-23,False,29,True
REV-5029,PROD-137,CUST-1156,4.0,"Arrived damaged, had to return.",2024-03-16,False,39,True
REV-5030,PROD-127,CUST-1143,1.0,Best purchase I've made this year.,2023-11-04,True,22,True
REV-5031,PROD-137,CUST-1146,2.0,Would not recommend to anyone.,2024-10-27,True,34,True
REV-5032,PROD-144,CUST-1035,5.0,Best purchase I've made this year.,2024-08-20,False,48,True
REV-5033,PROD-133,CUST-1159,4.0,Good value for money.,2023-06-23,True,0,True
REV-5034,PROD-107,CUST-1052,5.0,"Not as described, very disappointed.",2023-11-15,False,46,True
REV-5035,PROD-126,CUST-1082,1.0,"Not as described, very disappointed.",2024-02-16,True,44,True
REV-5036,PROD-101,CUST-1031,2.0,Waste of money.,2024-02-24,False,12,True
REV-5037,PROD-144,CUST-1193,3.0,Good value for money.,2024-09-24,True,16,True
REV-5038,PROD-138,CUST-1186,5.0,,2024-12-06,True,35,False
REV-5039,PROD-109,CUST-1057,1.0,"Two stars at best, poor quality.",2023-09-16,True,40,True
REV-5040,PROD-124,CUST-1178,3.0,Best purchase I've made this year.,2024-02-10,False,19,True
REV-5041,PROD-132,CUST-1080,4.0,"Terrible quality, broke after a week.",2024-02-23,False,8,True
REV-5042,PROD-146,CUST-1092,5.0,Best purchase I've made this year.,2024-10-02,True,4,True
REV-5044,PROD-141,CUST-1066,2.0,"Two stars at best, poor quality.",2025-01-14,True,0,True
REV-5045,PROD-103,CUST-1148,1.0,"Terrible quality, broke after a week.",2024-11-25,True,24,True
REV-5046,PROD-143,CUST-1105,3.0,,2024-10-22,True,0,False
REV-5047,PROD-119,CUST-1146,3.0,The color was different from the picture.,2023-06-30,False,12,True
REV-5048,PROD-132,CUST-1062,5.0,Stopped working after a month.,2023-10-12,True,24,True
REV-5049,PROD-108,CUST-1154,2.0,Would not recommend to anyone.,2024-05-08,True,0,True
REV-5051,PROD-139,CUST-1023,1.0,Love this! Will buy again.,2023-09-11,True,33,True
REV-5052,PROD-140,CUST-1003,4.0,"Five stars, absolutely amazing!",2024-12-01,True,30,True
REV-5053,PROD-145,CUST-1113,4.0,"Great product, exactly what I needed!",2024-06-01,True,45,True
REV-5054,PROD-126,CUST-1042,3.0,,2023-09-22,True,47,False
REV-5055,PROD-148,CUST-1012,4.0,Stopped working after a month.,2024-11-27,True,16,True
REV-5056,PROD-132,CUST-1083,2.0,Stopped working after a month.,2024-10-28,True,0,True
REV-5057,PROD-143,CUST-1050,4.0,Good value for money.,2023-10-28,False,12,True
REV-5058,PROD-109,CUST-1174,4.0,Good value for money.,2024-10-16,False,49,True
REV-5059,PROD-125,CUST-1043,2.0,,2024-10-14,True,43,False
REV-5060,PROD-110,CUST-1015,1.0,Good value for money.,2024-12-07,False,15,True
REV-5061,PROD-102,CUST-1083,3.0,Love this! Will buy again.,2024-01-22,True,14,True
REV-5062,PROD-121,CUST-1131,2.0,,2023-09-15,True,32,False
REV-5064,PROD-134,CUST-1115,2.0,"Arrived damaged, had to return.",2024-01-09,False,0,True
REV-5065,PROD-143,CUST-1131,3.0,"Arrived damaged, had to return.",2024-10-27,True,36,True
REV-5066,PROD-137,CUST-1078,4.0,Easy to use and very durable.,2023-08-02,False,8,True
REV-5068,PROD-145,CUST-1151,3.0,Love this! Will buy again.,2024-01-18,False,50,True
REV-5069,PROD-106,CUST-1040,2.0,"Five stars, absolutely amazing!",2024-07-06,False,33,True
REV-5070,PROD-132,CUST-1029,1.0,,2023-07-16,False,0,False
REV-5071,PROD-101,CUST-1130,1.0,"Two stars at best, poor quality.",2023-07-01,True,43,True
REV-5076,PROD-117,CUST-1176,3.0,,2023-06-21,True,42,False
REV-5077,PROD-124,CUST-1094,4.0,Good value for money.,2024-07-07,False,14,True
REV-5079,PROD-149,CUST-1096,5.0,"Five stars, absolutely amazing!",2023-10-23,False,10,True
REV-5080,PROD-124,CUST-1138,5.0,"Arrived damaged, had to return.",2024-01-26,True,36,True
REV-5081,PROD-107,CUST-1093,4.0,,2023-08-14,False,23,False
REV-5082,PROD-129,CUST-1032,1.0,,2024-01-29,False,44,False
REV-5083,PROD-148,CUST-1097,3.0,,2023-12-09,False,0,False
REV-5084,PROD-148,CUST-1092,5.0,Easy to use and very durable.,2024-09-15,False,29,True
REV-5086,PROD-145,CUST-1085,5.0,Good value for money.,2024-10-01,False,0,True
REV-5087,PROD-145,CUST-1088,3.0,Stopped working after a month.,2024-12-18,False,2,True
REV-5088,PROD-120,CUST-1127,4.0,"Five stars, absolutely amazing!",2024-06-10,True,3,True
REV-5089,PROD-104,CUST-1117,4.0,"Fast shipping, item works perfectly.",2023-07-25,True,30,True
REV-5090,PROD-111,CUST-1001,5.0,,2024-03-13,False,33,False
REV-5091,PROD-111,CUST-1018,2.0,"Arrived damaged, had to return.",2024-08-03,False,0,True
REV-5092,PROD-104,CUST-1023,1.0,Stopped working after a month.,2023-07-31,True,29,True
REV-5093,PROD-106,CUST-1013,2.3,"Fast shipping, item works perfectly.",2024-08-25,False,0,True
REV-5094,PROD-129,CUST-1129,2.9,The color was different from the picture.,2023-08-28,True,44,True
REV-5096,PROD-117,CUST-1036,4.0,Exceeded my expectations!,2024-11-09,True,5,True
REV-5097,PROD-113,CUST-1011,1.0,"Arrived damaged, had to return.",2024-05-06,False,43,True
REV-5098,PROD-111,CUST-1112,1.0,Would not recommend to anyone.,2024-06-03,False,9,True
REV-5099,PROD-126,CUST-1139,5.0,Waste of money.,2024-03-06,False,35,True
REV-5101,PROD-103,CUST-1100,3.0,"Two stars at best, poor quality.",2023-07-22,False,23,True
REV-5102,PROD-125,CUST-1085,2.0,Easy to use and very durable.,2024-12-05,False,0,True
REV-5103,PROD-140,CUST-1021,3.0,Solid build quality.,2023-09-11,True,6,True
REV-5104,PROD-138,CUST-1180,1.0,Best purchase I've made this year.,2024-03-29,True,11,True
REV-5105,PROD-110,CUST-1178,1.0,"Average product, nothing special.",2024-03-01,True,42,True
REV-5106,PROD-108,CUST-1002,2.0,Waste of money.,2023-07-31,True,0,True
REV-5107,PROD-107,CUST-1112,3.0,"Two stars at best, poor quality.",2024-02-21,False,0,True
REV-5109,PROD-143,CUST-1002,3.0,The color was different from the picture.,2023-07-20,False,19,True
REV-5110,PROD-149,CUST-1008,1.0,Waste of money.,2023-10-08,True,44,True
REV-5111,PROD-148,CUST-1076,3.0,"Not as described, very disappointed.",2024-12-07,False,21,True
REV-5112,PROD-139,CUST-1095,5.0,Easy to use and very durable.,2024-02-05,True,0,True
REV-5113,PROD-124,CUST-1124,1.0,"Five stars, absolutely amazing!",2024-07-22,True,25,True
REV-5114,PROD-136,CUST-1183,4.0,Perfect gift for my friend.,2024-07-01,True,15,True
REV-5116,PROD-114,CUST-1117,1.0,"Average product, nothing special.",2024-10-15,False,13,True
REV-5117,PROD-110,CUST-1097,3.0,"Fast shipping, item works perfectly.",2024-01-04,True,6,True
REV-5118,PROD-129,CUST-1179,5.0,Would not recommend to anyone.,2025-01-07,False,6,True
REV-5119,PROD-104,CUST-1164,1.0,Waste of money.,2023-07-11,True,0,True
REV-5120,PROD-140,CUST-1022,4.9,Solid build quality.,2023-09-28,False,39,True
REV-5121,PROD-100,CUST-1193,3.0,"Five stars, absolutely amazing!",2024-05-08,True,34,True
REV-5122,PROD-128,CUST-1079,3.0,"Terrible quality, broke after a week.",2024-08-07,False,15,True
REV-5123,PROD-126,CUST-1047,2.0,,2024-11-15,False,1,False
REV-5124,PROD-144,CUST-1029,5.0,Stopped working after a month.,2024-08-29,True,48,True
REV-5125,PROD-135,CUST-1017,1.0,Love this! Will buy again.,2023-11-23,False,31,True
REV-5126,PROD-146,CUST-1111,1.0,Stopped working after a month.,2024-10-28,False,5,True
REV-5127,PROD-146,CUST-1180,5.0,Best purchase I've made this year.,2023-11-19,True,45,True
REV-5128,PROD-103,CUST-1017,3.0,Best purchase I've made this year.,2024-01-08,False,32,True
REV-5129,PROD-137,CUST-1013,4.0,Love this! Will buy again.,2024-04-14,True,48,True
REV-5131,PROD-108,CUST-1071,2.0,Perfect gift for my friend.,2023-08-30,False,47,True
REV-5132,PROD-133,CUST-1147,1.0,Exceeded my expectations!,2024-06-03,True,47,True
REV-5133,PROD-140,CUST-1012,1.0,"Fast shipping, item works perfectly.",2023-12-30,False,8,True
REV-5134,PROD-145,CUST-1095,4.0,"Terrible quality, broke after a week.",2024-02-05,True,26,True
REV-5135,PROD-121,CUST-1088,1.0,"Two stars at best, poor quality.",2023-07-29,False,28,True
REV-5136,PROD-129,CUST-1057,4.0,Good value for money.,2024-12-02,True,38,True
REV-5138,PROD-113,CUST-1189,1.0,Perfect gift for my friend.,2024-02-09,False,25,True
REV-5139,PROD-110,CUST-1003,2.0,Stopped working after a month.,2024-10-11,True,23,True
REV-5140,PROD-126,CUST-1039,4.0,Love this! Will buy again.,2024-07-08,True,3,True
REV-5141,PROD-119,CUST-1110,5.0,Exceeded my expectations!,2024-08-25,True,12,True
REV-5142,PROD-145,CUST-1116,2.0,"Average product, nothing special.",2023-11-19,True,7,True
REV-5144,PROD-143,CUST-1152,5.0,"Two stars at best, poor quality.",2024-10-17,False,26,True
REV-5145,PROD-109,CUST-1174,2.0,Would not recommend to anyone.,2025-01-05,False,15,True
REV-5146,PROD-108,CUST-1093,3.0,Would not recommend to anyone.,2023-07-29,False,12,True
REV-5147,PROD-102,CUST-1171,2.0,Best purchase I've made this year.,2024-06-09,True,46,True
REV-5148,PROD-117,CUST-1127,3.0,Solid build quality.,2024-03-02,True,46,True
REV-5149,PROD-117,CUST-1069,3.0,"Two stars at best, poor quality.",2024-09-26,True,4,True
REV-5150,PROD-127,CUST-1137,2.0,"Great product, exactly what I needed!",2023-06-23,False,39,True
REV-5151,PROD-119,CUST-1047,5.0,"Two stars at best, poor quality.",2024-05-15,True,23,True
REV-5152,PROD-136,CUST-1003,4.0,Perfect gift for my friend.,2024-02-01,True,49,True
REV-5153,PROD-145,CUST-1013,5.0,Perfect gift for my friend.,2024-03-19,True,15,True
REV-5154,PROD-110,CUST-1115,4.0,Would not recommend to anyone.,2023-07-28,False,43,True
REV-5155,PROD-101,CUST-1042,1.0,"Not as described, very disappointed.",2024-05-30,False,35,True
REV-5156,PROD-128,CUST-1189,1.0,Waste of money.,2024-03-13,True,16,True
REV-5157,PROD-117,CUST-1049,4.0,"Average product, nothing special.",2024-10-22,True,26,True
REV-5158,PROD-121,CUST-1174,2.0,Exceeded my expectations!,2024-07-14,False,7,True
REV-5159,PROD-117,CUST-1039,1.0,"Arrived damaged, had to return.",2024-05-31,False,0,True
REV-5160,PROD-123,CUST-1038,3.0,"Average product, nothing special.",2023-06-26,True,0,True
REV-5161,PROD-111,CUST-1058,3.0,"Not as described, very disappointed.",2024-04-04,False,33,True
REV-5162,PROD-140,CUST-1050,1.0,Stopped working after a month.,2023-10-03,False,33,True
REV-5163,PROD-149,CUST-1063,4.0,Stopped working after a month.,2024-10-09,False,42,True
REV-5164,PROD-143,CUST-1058,2.0,Exceeded my expectations!,2024-08-27,True,11,True
REV-5165,PROD-100,CUST-1090,3.0,Would not recommend to anyone.,2024-01-14,True,32,True
REV-5166,PROD-122,CUST-1141,1.0,"Terrible quality, broke after a week.",2023-07-21,True,38,True
REV-5167,PROD-131,CUST-1025,1.0,,2023-07-10,False,6,False
REV-5168,PROD-122,CUST-1180,5.0,Customer service was unhelpful.,2023-12-05,True,48,True
REV-5169,PROD-116,CUST-1033,5.0,Exceeded my expectations!,2024-02-24,True,10,True
REV-5170,PROD-145,CUST-1193,5.0,Perfect gift for my friend.,2023-09-17,True,42,True
REV-5171,PROD-147,CUST-1045,5.0,Stopped working after a month.,2023-12-06,True,0,True
REV-5172,PROD-111,CUST-1062,2.4,,2024-10-03,False,17,False
REV-5173,PROD-125,CUST-1058,4.0,The color was different from the picture.,2024-04-18,False,20,True
REV-5174,PROD-109,CUST-1044,1.0,"Terrible quality, broke after a week.",2024-06-29,True,42,True
REV-5175,PROD-125,CUST-1187,2.0,Customer service was unhelpful.,2024-04-17,True,16,True
REV-5176,PROD-136,CUST-1184,1.0,Good value for money.,2024-08-12,False,43,True
REV-5177,PROD-121,CUST-1147,3.0,"Five stars, absolutely amazing!",2023-09-02,False,28,True
REV-5178,PROD-135,CUST-1043,1.1,"Average product, nothing special.",2024-02-15,True,0,True
REV-5179,PROD-141,CUST-1038,4.0,Exceeded my expectations!,2023-08-31,False,45,True
REV-5180,PROD-127,CUST-1133,5.0,Good value for money.,2024-12-31,True,30,True
REV-5181,PROD-114,CUST-1172,1.0,Solid build quality.,2024-07-03,False,33,True
REV-5182,PROD-134,CUST-1161,5.0,The color was different from the picture.,2023-12-30,False,5,True
REV-5183,PROD-140,CUST-1163,4.0,Would not recommend to anyone.,2025-01-13,False,10,True
REV-5184,PROD-107,CUST-1198,5.0,Best purchase I've made this year.,2023-06-25,True,36,True
REV-5185,PROD-140,CUST-1000,4.0,"Arrived damaged, had to return.",2023-07-22,False,19,True
REV-5186,PROD-134,CUST-1022,4.0,Exceeded my expectations!,2024-04-12,True,27,True
REV-5187,PROD-144,CUST-1090,1.0,Would not recommend to anyone.,2024-02-06,False,37,True
REV-5188,PROD-147,CUST-1020,4.0,"Five stars, absolutely amazing!",2024-08-25,False,44,True
REV-5189,PROD-124,CUST-1151,2.0,"Great product, exactly what I needed!",2024-06-14,True,7,True
REV-5190,PROD-110,CUST-1080,5.0,Love this! Will buy again.,2023-08-20,False,36,True
REV-5191,PROD-148,CUST-1076,3.0,Perfect gift for my friend.,2024-02-09,True,19,True
REV-5192,PROD-145,CUST-1154,3.0,"Two stars at best, poor quality.",2025-01-04,False,16,True
REV-5193,PROD-117,CUST-1004,5.0,"Arrived damaged, had to return.",2024-02-26,True,3,True
REV-5194,PROD-137,CUST-1147,3.0,"Arrived damaged, had to return.",2024-01-10,True,17,True
REV-5195,PROD-106,CUST-1033,2.0,,2024-08-30,True,30,False
REV-5196,PROD-148,CUST-1161,1.0,Waste of money.,2024-03-20,False,37,True
REV-5197,PROD-108,CUST-1010,2.0,"Five stars, absolutely amazing!",2023-06-11,True,24,True
REV-5198,PROD-104,CUST-1036,2.0,Stopped working after a month.,2023-06-29,False,7,True
REV-5199,PROD-113,CUST-1048,4.0,Easy to use and very durable.,2024-07-06,False,35,True
REV-5201,PROD-104,CUST-1075,2.0,Exceeded my expectations!,2023-12-27,True,42,True
REV-5202,PROD-147,CUST-1049,2.0,The color was different from the picture.,2024-02-10,True,13,True
REV-5203,PROD-141,CUST-1169,1.0,"Five stars, absolutely amazing!",2024-01-24,True,44,True
REV-5204,PROD-143,CUST-1166,4.0,"Fast shipping, item works perfectly.",2024-12-17,False,24,True
REV-5205,PROD-148,CUST-1112,5.0,Good value for money.,2024-10-11,False,2,True
REV-5206,PROD-119,CUST-1137,2.0,Stopped working after a month.,2024-01-20,True,35,True
REV-5207,PROD-139,CUST-1050,3.0,Love this! Will buy again.,2023-11-11,True,14,True
REV-5208,PROD-100,CUST-1102,2.0,"Not as described, very disappointed.",2024-05-04,False,0,True
REV-5209,PROD-114,CUST-1171,1.0,Solid build quality.,2023-10-04,False,0,True
REV-5210,PROD-128,CUST-1156,4.0,Easy to use and very durable.,2024-10-02,False,3,True
REV-5211,PROD-111,CUST-1059,3.0,"Arrived damaged, had to return.",2023-11-25,True,10,True
REV-5212,PROD-115,CUST-1138,1.0,Good value for money.,2023-10-09,False,49,True
REV-5213,PROD-101,CUST-1013,1.0,"Terrible quality, broke after a week.",2024-03-26,False,46,True
REV-5214,PROD-126,CUST-1164,3.0,Customer service was unhelpful.,2024-09-30,False,26,True
REV-5215,PROD-106,CUST-1098,5.0,"Arrived damaged, had to return.",2023-07-22,False,28,True
REV-5216,PROD-109,CUST-1081,4.0,"Five stars, absolutely amazing!",2023-11-07,False,48,True
REV-5217,PROD-134,CUST-1124,3.0,Exceeded my expectations!,2024-02-09,False,4,True
REV-5218,PROD-111,CUST-1012,1.0,Solid build quality.,2023-08-28,True,0,True
REV-5219,PROD-144,CUST-1171,3.0,Good value for money.,2023-07-22,False,31,True
REV-5221,PROD-107,CUST-1036,4.0,Best purchase I've made this year.,2023-11-27,True,35,True
REV-5222,PROD-129,CUST-1045,2.0,Easy to use and very durable.,2024-06-19,True,41,True
REV-5223,PROD-124,CUST-1050,2.0,The color was different from the picture.,2024-12-04,True,1,True
REV-5224,PROD-119,CUST-1069,5.0,"Average product, nothing special.",2023-06-13,True,39,True
REV-5225,PROD-143,CUST-1048,4.0,Solid build quality.,2024-04-16,False,44,True
REV-5226,PROD-111,CUST-1106,4.0,"Average product, nothing special.",2024-04-20,False,30,True
REV-5227,PROD-120,CUST-1089,2.0,"Fast shipping, item works perfectly.",2024-07-13,False,41,True
REV-5228,PROD-123,CUST-1196,5.0,"Terrible quality, broke after a week.",2024-04-26,True,20,True
REV-5229,PROD-148,CUST-1165,5.0,"Two stars at best, poor quality.",2023-11-05,True,11,True
REV-5230,PROD-102,CUST-1086,4.0,Exceeded my expectations!,2024-12-16,False,34,True
REV-5231,PROD-148,CUST-1136,1.0,Would not recommend to anyone.,2025-01-08,True,0,True
REV-5232,PROD-141,CUST-1095,1.0,Love this! Will buy again.,2023-08-18,False,34,True
REV-5233,PROD-109,CUST-1026,4.0,"Not as described, very disappointed.",2023-06-09,True,35,True
REV-5234,PROD-134,CUST-1010,1.0,"Average product, nothing special.",2023-06-01,False,31,True
REV-5235,PROD-128,CUST-1163,5.0,Best purchase I've made this year.,2024-07-02,True,7,True
REV-5236,PROD-138,CUST-1183,4.0,"Fast shipping, item works perfectly.",2023-10-23,True,0,True
REV-5237,PROD-111,CUST-1041,1.0,"Arrived damaged, had to return.",2024-03-18,False,7,True
REV-5239,PROD-126,CUST-1166,5.0,Exceeded my expectations!,2023-09-07,False,1,True
REV-5240,PROD-103,CUST-1180,2.0,,2023-11-20,True,12,False
REV-5241,PROD-147,CUST-1082,2.0,Easy to use and very durable.,2023-06-04,True,33,True
REV-5242,PROD-115,CUST-1157,5.0,"Five stars, absolutely amazing!",2024-08-01,False,0,True
REV-5243,PROD-128,CUST-1058,4.0,"Arrived damaged, had to return.",2024-02-05,False,32,True
REV-5244,PROD-139,CUST-1191,4.0,Easy to use and very durable.,2024-07-22,False,34,True
REV-5245,PROD-148,CUST-1000,4.0,Exceeded my expectations!,2023-09-20,True,50,True
REV-5246,PROD-110,CUST-1187,2.0,Stopped working after a month.,2024-11-02,True,38,True
REV-5247,PROD-146,CUST-1103,1.0,Customer service was unhelpful.,2023-06-21,False,41,True
REV-5248,PROD-102,CUST-1133,4.0,Perfect gift for my friend.,2024-12-03,False,39,True
